DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST
04-Feb-2022;14:23:36;Airfoil_MF;1;-482.072648;2465.02;1;30;2000;1;5
04-Feb-2022;14:57:47;Airfoil_MF;2;-476.547129;2050.87;1;30;2000;1;5
04-Feb-2022;15:29:16;Airfoil_MF;3;-463.135518;1889.48;1;30;2000;1;5
04-Feb-2022;16:07:10;Airfoil_MF;4;-538.663415;2273.79;1;30;2000;1;5
04-Feb-2022;16:43:14;Airfoil_MF;5;-394.332393;2163.53;1;30;2000;1;5
04-Feb-2022;17:31:28;Airfoil_MF;6;-507.271726;2894.35;1;30;2000;1;5
04-Feb-2022;18:13:13;Airfoil_MF;7;-485.564644;2504.55;1;30;2000;1;5
04-Feb-2022;18:46:26;Airfoil_MF;8;-654.908497;1993.59;1;30;2000;1;5
04-Feb-2022;19:18:54;Airfoil_MF;9;-585.842915;1948.16;1;30;2000;1;5
04-Feb-2022;19:55:29;Airfoil_MF;10;-535.792255;2194.86;1;30;2000;1;5
04-Feb-2022;20:33:45;Airfoil_MF;11;-418.680924;2295.23;1;30;2000;1;5
04-Feb-2022;21:04:49;Airfoil_MF;12;-516.952678;1864.10;1;30;2000;1;5
04-Feb-2022;21:47:38;Airfoil_MF;13;-332.781956;2569.61;1;30;2000;1;5
04-Feb-2022;22:30:18;Airfoil_MF;14;-478.087288;2559.78;1;30;2000;1;5
04-Feb-2022;23:04:04;Airfoil_MF;15;-517.939064;2025.53;1;30;2000;1;5
04-Feb-2022;23:38:06;Airfoil_MF;16;-453.376730;2042.59;1;30;2000;1;5
05-Feb-2022;00:12:28;Airfoil_MF;17;-497.388416;2061.42;1;30;2000;1;5
05-Feb-2022;00:44:19;Airfoil_MF;18;-402.993090;1911.82;1;30;2000;1;5
05-Feb-2022;01:17:07;Airfoil_MF;19;-530.947534;1967.93;1;30;2000;1;5
05-Feb-2022;01:50:08;Airfoil_MF;20;-451.072618;1981.09;1;30;2000;1;5
05-Feb-2022;02:31:39;Airfoil_MF;21;-451.177916;2491.05;1;30;2000;1;5
05-Feb-2022;03:02:41;Airfoil_MF;22;-490.158095;1861.68;1;30;2000;1;5
05-Feb-2022;03:44:53;Airfoil_MF;23;-476.552252;2531.66;1;30;2000;1;5
05-Feb-2022;04:33:58;Airfoil_MF;24;-472.002188;2945.15;1;30;2000;1;5
05-Feb-2022;05:08:58;Airfoil_MF;25;-483.422356;2099.80;1;30;2000;1;5
05-Feb-2022;05:51:20;Airfoil_MF;26;-492.345680;2542.69;1;30;2000;1;5
05-Feb-2022;06:38:54;Airfoil_MF;27;-482.789611;2853.06;1;30;2000;1;5
05-Feb-2022;07:10:21;Airfoil_MF;28;-536.727980;1887.50;1;30;2000;1;5
05-Feb-2022;07:40:10;Airfoil_MF;29;-437.544918;1788.93;1;30;2000;1;5
05-Feb-2022;08:21:18;Airfoil_MF;30;-515.742727;2467.83;1;30;2000;1;5
