DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST
05-Feb-2022;13:57:25;Airfoil_MF;1;-483.384283;4529.40;0;30;2000;1;5
05-Feb-2022;14:56:42;Airfoil_MF;2;-431.111644;3557.32;0;30;2000;1;5
05-Feb-2022;16:04:32;Airfoil_MF;3;-496.429700;4070.01;0;30;2000;1;5
05-Feb-2022;17:24:01;Airfoil_MF;4;-585.655921;4769.04;0;30;2000;1;5
05-Feb-2022;18:43:01;Airfoil_MF;5;-364.066631;4740.46;0;30;2000;1;5
05-Feb-2022;19:50:40;Airfoil_MF;6;-518.772766;4058.13;0;30;2000;1;5
05-Feb-2022;21:08:44;Airfoil_MF;7;-485.564644;4684.05;0;30;2000;1;5
05-Feb-2022;22:37:37;Airfoil_MF;8;-549.733389;5333.23;0;30;2000;1;5
06-Feb-2022;00:18:35;Airfoil_MF;9;-507.999431;6058.47;0;30;2000;1;5
06-Feb-2022;02:04:27;Airfoil_MF;10;-451.900025;6352.04;0;30;2000;1;5
06-Feb-2022;03:44:22;Airfoil_MF;11;-490.234113;5994.13;0;30;2000;1;5
06-Feb-2022;05:08:58;Airfoil_MF;12;-516.952678;5076.64;0;30;2000;1;5
06-Feb-2022;06:27:51;Airfoil_MF;13;-438.016232;4732.96;0;30;2000;1;5
06-Feb-2022;07:36:05;Airfoil_MF;14;-448.644474;4094.19;0;30;2000;1;5
06-Feb-2022;09:00:03;Airfoil_MF;15;-447.293823;5038.12;0;30;2000;1;5
06-Feb-2022;10:33:04;Airfoil_MF;16;-480.709421;5580.61;0;30;2000;1;5
06-Feb-2022;11:49:16;Airfoil_MF;17;-520.411297;4572.15;0;30;2000;1;5
06-Feb-2022;13:08:18;Airfoil_MF;18;-544.943083;4741.57;0;30;2000;1;5
06-Feb-2022;14:49:45;Airfoil_MF;19;-534.705691;6087.24;0;30;2000;1;5
06-Feb-2022;16:00:06;Airfoil_MF;20;-527.521414;4220.79;0;30;2000;1;5
06-Feb-2022;17:16:03;Airfoil_MF;21;-558.766029;4557.60;0;30;2000;1;5
06-Feb-2022;18:38:32;Airfoil_MF;22;-577.013635;4948.35;0;30;2000;1;5
06-Feb-2022;19:42:30;Airfoil_MF;23;-485.989079;3837.83;0;30;2000;1;5
06-Feb-2022;20:59:28;Airfoil_MF;24;-535.216114;4618.41;0;30;2000;1;5
06-Feb-2022;22:11:54;Airfoil_MF;25;-478.352970;4345.53;0;30;2000;1;5
06-Feb-2022;23:19:47;Airfoil_MF;26;-425.139677;4073.21;0;30;2000;1;5
07-Feb-2022;00:30:22;Airfoil_MF;27;-485.345019;4234.92;0;30;2000;1;5
07-Feb-2022;01:47:21;Airfoil_MF;28;-525.454035;4619.48;0;30;2000;1;5
07-Feb-2022;03:06:07;Airfoil_MF;29;-552.713714;4726.02;0;30;2000;1;5
07-Feb-2022;04:20:15;Airfoil_MF;30;-417.442584;4447.56;0;30;2000;1;5
