DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST
10-Feb-2022;13:11:08;Borehole_MF_norm;1;7.822108;163.28;1;30;2000;1;5
10-Feb-2022;13:13:54;Borehole_MF_norm;2;7.819682;166.50;1;30;2000;1;5
10-Feb-2022;13:17:07;Borehole_MF_norm;3;7.825402;192.50;1;30;2000;1;5
10-Feb-2022;13:19:57;Borehole_MF_norm;4;7.819676;169.95;1;30;2000;1;5
10-Feb-2022;13:23:02;Borehole_MF_norm;5;7.825118;185.80;1;30;2000;1;5
10-Feb-2022;13:25:55;Borehole_MF_norm;6;7.827769;173.17;1;30;2000;1;5
10-Feb-2022;13:29:05;Borehole_MF_norm;7;7.953409;189.82;1;30;2000;1;5
10-Feb-2022;13:31:45;Borehole_MF_norm;8;7.822354;159.55;1;30;2000;1;5
10-Feb-2022;13:34:59;Borehole_MF_norm;9;7.819676;194.27;1;30;2000;1;5
10-Feb-2022;13:37:42;Borehole_MF_norm;10;7.828468;162.86;1;30;2000;1;5
10-Feb-2022;13:40:35;Borehole_MF_norm;11;7.823648;172.71;1;30;2000;1;5
10-Feb-2022;13:43:36;Borehole_MF_norm;12;7.827029;181.50;1;30;2000;1;5
10-Feb-2022;13:46:32;Borehole_MF_norm;13;7.825372;175.42;1;30;2000;1;5
10-Feb-2022;13:49:22;Borehole_MF_norm;14;7.824570;170.52;1;30;2000;1;5
10-Feb-2022;13:52:37;Borehole_MF_norm;15;7.819676;195.30;1;30;2000;1;5
10-Feb-2022;13:55:09;Borehole_MF_norm;16;9.090685;151.68;1;30;2000;1;5
10-Feb-2022;13:58:06;Borehole_MF_norm;17;7.825396;176.97;1;30;2000;1;5
10-Feb-2022;14:00:55;Borehole_MF_norm;18;9.530996;168.42;1;30;2000;1;5
10-Feb-2022;14:03:39;Borehole_MF_norm;19;9.095185;164.01;1;30;2000;1;5
10-Feb-2022;14:06:53;Borehole_MF_norm;20;7.823024;194.90;1;30;2000;1;5
10-Feb-2022;14:09:54;Borehole_MF_norm;21;7.825336;180.75;1;30;2000;1;5
10-Feb-2022;14:13:05;Borehole_MF_norm;22;7.825327;190.84;1;30;2000;1;5
10-Feb-2022;14:16:00;Borehole_MF_norm;23;7.825401;174.97;1;30;2000;1;5
10-Feb-2022;14:19:11;Borehole_MF_norm;24;7.819682;190.74;1;30;2000;1;5
10-Feb-2022;14:22:20;Borehole_MF_norm;25;7.823502;189.66;1;30;2000;1;5
10-Feb-2022;14:25:11;Borehole_MF_norm;26;7.822195;170.77;1;30;2000;1;5
10-Feb-2022;14:28:11;Borehole_MF_norm;27;7.825321;179.83;1;30;2000;1;5
10-Feb-2022;14:31:17;Borehole_MF_norm;28;7.825402;186.30;1;30;2000;1;5
10-Feb-2022;14:34:13;Borehole_MF_norm;29;7.825324;175.97;1;30;2000;1;5
10-Feb-2022;14:37:22;Borehole_MF_norm;30;7.819676;189.16;1;30;2000;1;5
