DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST
10-Feb-2022;12:48:54;Borehole_MF_norm;1;7.819676;67.69;0;30;2000;1;5
10-Feb-2022;12:49:20;Borehole_MF_norm;2;7.831714;26.25;0;30;2000;1;5
10-Feb-2022;12:50:13;Borehole_MF_norm;3;7.819682;52.92;0;30;2000;1;5
10-Feb-2022;12:50:48;Borehole_MF_norm;4;7.819682;34.92;0;30;2000;1;5
10-Feb-2022;12:51:23;Borehole_MF_norm;5;7.819676;34.84;0;30;2000;1;5
10-Feb-2022;12:51:48;Borehole_MF_norm;6;7.819919;25.41;0;30;2000;1;5
10-Feb-2022;12:52:27;Borehole_MF_norm;7;9.560085;38.63;0;30;2000;1;5
10-Feb-2022;12:53:08;Borehole_MF_norm;8;7.824867;40.47;0;30;2000;1;5
10-Feb-2022;12:53:55;Borehole_MF_norm;9;7.819676;47.94;0;30;2000;1;5
10-Feb-2022;12:54:42;Borehole_MF_norm;10;7.825396;46.97;0;30;2000;1;5
10-Feb-2022;12:55:22;Borehole_MF_norm;11;7.825402;39.60;0;30;2000;1;5
10-Feb-2022;12:55:54;Borehole_MF_norm;12;9.547855;32.20;0;30;2000;1;5
10-Feb-2022;12:56:26;Borehole_MF_norm;13;7.824546;31.46;0;30;2000;1;5
10-Feb-2022;12:56:57;Borehole_MF_norm;14;7.827220;31.77;0;30;2000;1;5
10-Feb-2022;12:57:24;Borehole_MF_norm;15;7.828804;26.65;0;30;2000;1;5
10-Feb-2022;12:58:24;Borehole_MF_norm;16;7.825396;59.70;0;30;2000;1;5
10-Feb-2022;12:58:55;Borehole_MF_norm;17;7.825386;30.81;0;30;2000;1;5
10-Feb-2022;12:59:33;Borehole_MF_norm;18;9.552602;38.81;0;30;2000;1;5
10-Feb-2022;13:00:28;Borehole_MF_norm;19;7.828475;54.62;0;30;2000;1;5
10-Feb-2022;13:00:54;Borehole_MF_norm;20;7.834136;25.61;0;30;2000;1;5
10-Feb-2022;13:01:34;Borehole_MF_norm;21;7.819676;40.11;0;30;2000;1;5
10-Feb-2022;13:02:43;Borehole_MF_norm;22;7.825327;69.57;0;30;2000;1;5
10-Feb-2022;13:03:53;Borehole_MF_norm;23;7.819682;69.70;0;30;2000;1;5
10-Feb-2022;13:04:23;Borehole_MF_norm;24;7.825950;29.56;0;30;2000;1;5
10-Feb-2022;13:04:48;Borehole_MF_norm;25;7.825395;25.70;0;30;2000;1;5
10-Feb-2022;13:05:26;Borehole_MF_norm;26;7.819676;38.05;0;30;2000;1;5
10-Feb-2022;13:05:55;Borehole_MF_norm;27;8.799734;28.78;0;30;2000;1;5
10-Feb-2022;13:06:25;Borehole_MF_norm;28;7.823365;30.03;0;30;2000;1;5
10-Feb-2022;13:07:01;Borehole_MF_norm;29;7.825309;36.17;0;30;2000;1;5
10-Feb-2022;13:07:31;Borehole_MF_norm;30;7.821409;29.74;0;30;2000;1;5
