DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST
08-Sep-2021;23:37:36;Griewank_d3_e2;1;0.000000;554.77;0;30;400;1;5
08-Sep-2021;23:46:29;Griewank_d3_e2;2;0.000000;532.67;0;30;400;1;5
08-Sep-2021;23:55:47;Griewank_d3_e2;3;0.000000;557.88;0;30;400;1;5
09-Sep-2021;00:04:19;Griewank_d3_e2;4;0.000000;511.67;0;30;400;1;5
09-Sep-2021;00:14:04;Griewank_d3_e2;5;0.000000;584.70;0;30;400;1;5
09-Sep-2021;00:24:45;Griewank_d3_e2;6;0.000000;641.70;0;30;400;1;5
09-Sep-2021;00:35:26;Griewank_d3_e2;7;0.000000;640.79;0;30;400;1;5
09-Sep-2021;00:45:56;Griewank_d3_e2;8;0.000000;630.14;0;30;400;1;5
09-Sep-2021;00:56:55;Griewank_d3_e2;9;0.000000;658.96;0;30;400;1;5
09-Sep-2021;01:07:15;Griewank_d3_e2;10;0.000000;619.90;0;30;400;1;5
09-Sep-2021;01:16:43;Griewank_d3_e2;11;0.044227;567.82;0;30;400;1;5
09-Sep-2021;01:27:23;Griewank_d3_e2;12;0.000000;640.05;0;30;400;1;5
09-Sep-2021;01:36:53;Griewank_d3_e2;13;0.000000;569.37;0;30;400;1;5
09-Sep-2021;01:46:39;Griewank_d3_e2;14;0.000000;586.27;0;30;400;1;5
09-Sep-2021;01:57:05;Griewank_d3_e2;15;0.000000;625.76;0;30;400;1;5
09-Sep-2021;02:06:56;Griewank_d3_e2;16;0.000000;590.96;0;30;400;1;5
09-Sep-2021;02:15:51;Griewank_d3_e2;17;0.010924;534.90;0;30;400;1;5
09-Sep-2021;02:25:57;Griewank_d3_e2;18;0.000000;606.47;0;30;400;1;5
09-Sep-2021;02:35:40;Griewank_d3_e2;19;0.000000;582.74;0;30;400;1;5
09-Sep-2021;02:45:21;Griewank_d3_e2;20;0.000000;580.61;0;30;400;1;5
