DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST;DELTA_1;DELTA_2
01-Mar-2022;17:37:43;LV_f13_MF;1;440.995936;31.45;0;5;2000;1;5;20;5
01-Mar-2022;17:41:03;LV_f13_MF;2;22.354965;200.22;0;5;2000;1;5;20;5
01-Mar-2022;17:41:25;LV_f13_MF;3;1318.448781;22.31;0;5;2000;1;5;20;5
01-Mar-2022;17:43:33;LV_f13_MF;4;24.191298;127.85;0;5;2000;1;5;20;5
01-Mar-2022;17:43:56;LV_f13_MF;5;1668.496580;23.08;0;5;2000;1;5;20;5
01-Mar-2022;17:44:29;LV_f15_MF;1;30216.493031;32.42;0;5;2000;1;5;20;5
01-Mar-2022;17:45:08;LV_f15_MF;2;2602.820470;39.77;0;5;2000;1;5;20;5
01-Mar-2022;17:45:31;LV_f15_MF;3;8770.234779;22.19;0;5;2000;1;5;20;5
01-Mar-2022;17:46:14;LV_f15_MF;4;13123.485736;43.60;0;5;2000;1;5;20;5
01-Mar-2022;17:46:28;LV_f15_MF;5;41639.224117;13.47;0;5;2000;1;5;20;5
01-Mar-2022;17:47:00;LV_f17_MF;1;607.937363;32.37;0;5;2000;1;5;20;5
01-Mar-2022;17:51:45;LV_f17_MF;2;37.739351;284.69;0;5;2000;1;5;20;5
01-Mar-2022;17:54:21;LV_f17_MF;3;9.113693;156.21;0;5;2000;1;5;20;5
01-Mar-2022;17:54:49;LV_f17_MF;4;769.858252;28.09;0;5;2000;1;5;20;5
01-Mar-2022;17:59:01;LV_f17_MF;5;43.332763;251.71;0;5;2000;1;5;20;5
01-Mar-2022;18:01:38;Griewank_d3_e2;1;0.007397;156.89;0;5;2000;1;5;20;5
01-Mar-2022;18:04:43;Griewank_d3_e2;2;0.000037;184.85;0;5;2000;1;5;20;5
01-Mar-2022;18:06:40;Griewank_d3_e2;3;0.007396;117.27;0;5;2000;1;5;20;5
01-Mar-2022;18:08:59;Griewank_d3_e2;4;0.007396;139.03;0;5;2000;1;5;20;5
01-Mar-2022;18:11:03;Griewank_d3_e2;5;0.000218;123.55;0;5;2000;1;5;20;5
01-Mar-2022;18:13:50;Griewank_d8_e2;1;0.984053;167.63;0;5;2000;1;5;20;5
01-Mar-2022;18:15:29;Griewank_d8_e2;2;0.991303;99.04;0;5;2000;1;5;20;5
01-Mar-2022;18:15:56;Griewank_d8_e2;3;0.970229;26.51;0;5;2000;1;5;20;5
01-Mar-2022;18:16:22;Griewank_d8_e2;4;0.815128;26.36;0;5;2000;1;5;20;5
01-Mar-2022;18:19:21;Griewank_d8_e2;5;0.888299;179.04;0;5;2000;1;5;20;5
