DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST;DELTA_1;DELTA_2
27-Feb-2022;14:44:28;LV_f11_MF;1;0.000000;536.63;1;5;2000;1;5;30;3
27-Feb-2022;14:54:08;LV_f11_MF;2;0.000000;580.32;1;5;2000;1;5;30;3
27-Feb-2022;15:02:54;LV_f11_MF;3;0.000000;526.25;1;5;2000;1;5;30;3
27-Feb-2022;15:12:46;LV_f11_MF;4;0.000000;591.59;1;5;2000;1;5;30;3
27-Feb-2022;15:21:29;LV_f11_MF;5;0.000000;522.46;1;5;2000;1;5;30;3
27-Feb-2022;15:30:36;LV_f13_MF;1;24.689578;547.03;1;5;2000;1;5;30;3
27-Feb-2022;15:40:15;LV_f13_MF;2;15.854843;578.85;1;5;2000;1;5;30;3
27-Feb-2022;15:49:00;LV_f13_MF;3;64.675575;525.36;1;5;2000;1;5;30;3
27-Feb-2022;15:56:34;LV_f13_MF;4;0.981982;454.39;1;5;2000;1;5;30;3
27-Feb-2022;16:06:09;LV_f13_MF;5;15.814454;574.80;1;5;2000;1;5;30;3
27-Feb-2022;16:16:56;LV_f15_MF;1;2775.426378;646.57;1;5;2000;1;5;30;3
27-Feb-2022;16:29:19;LV_f15_MF;2;1322.433292;743.14;1;5;2000;1;5;30;3
27-Feb-2022;16:41:02;LV_f15_MF;3;508.526750;702.92;1;5;2000;1;5;30;3
27-Feb-2022;16:49:35;LV_f15_MF;4;199.245544;512.45;1;5;2000;1;5;30;3
27-Feb-2022;16:58:02;LV_f15_MF;5;3170.618238;507.12;1;5;2000;1;5;30;3
27-Feb-2022;17:25:23;LV_f17_MF;1;-2.031787;1640.77;1;5;2000;1;5;30;3
27-Feb-2022;17:59:08;LV_f17_MF;2;-1.895229;2025.52;1;5;2000;1;5;30;3
27-Feb-2022;18:30:50;LV_f17_MF;3;-1.629910;1901.61;1;5;2000;1;5;30;3
27-Feb-2022;18:59:51;LV_f17_MF;4;-1.346539;1741.06;1;5;2000;1;5;30;3
27-Feb-2022;19:26:55;LV_f17_MF;5;-1.366763;1623.59;1;5;2000;1;5;30;3
27-Feb-2022;19:33:52;Griewank_d3_e2;1;0.000001;416.97;1;5;2000;1;5;30;3
27-Feb-2022;19:41:19;Griewank_d3_e2;2;0.000003;446.53;1;5;2000;1;5;30;3
27-Feb-2022;19:48:25;Griewank_d3_e2;3;0.000008;426.14;1;5;2000;1;5;30;3
27-Feb-2022;19:54:09;Griewank_d3_e2;4;0.007396;344.53;1;5;2000;1;5;30;3
27-Feb-2022;20:00:43;Griewank_d3_e2;5;0.007396;393.33;1;5;2000;1;5;30;3
27-Feb-2022;20:29:32;Griewank_d8_e2;1;0.028005;1729.38;1;5;2000;1;5;30;3
27-Feb-2022;20:58:16;Griewank_d8_e2;2;0.874133;1723.92;1;5;2000;1;5;30;3
27-Feb-2022;21:29:14;Griewank_d8_e2;3;0.022799;1857.97;1;5;2000;1;5;30;3
27-Feb-2022;22:09:22;Griewank_d8_e2;4;0.053664;2407.71;1;5;2000;1;5;30;3
27-Feb-2022;22:42:19;Griewank_d8_e2;5;0.025204;1976.14;1;5;2000;1;5;30;3
