DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST
12-Jul-2021;16:49:16;LV_f12_MF;1;-2.861459;1594.04;1;30;100;1;20
12-Jul-2021;17:14:42;LV_f12_MF;2;-4.512351;1526.72;1;30;100;1;20
12-Jul-2021;17:34:47;LV_f12_MF;3;-2.613954;1204.76;1;30;100;1;20
12-Jul-2021;17:58:34;LV_f12_MF;4;-2.746199;1426.54;1;30;100;1;20
12-Jul-2021;18:22:59;LV_f12_MF;5;-4.716039;1465.49;1;30;100;1;20
12-Jul-2021;18:45:15;LV_f12_MF;6;-2.213892;1336.27;1;30;100;1;20
12-Jul-2021;19:09:32;LV_f12_MF;7;-3.203434;1456.28;1;30;100;1;20
12-Jul-2021;19:40:25;LV_f12_MF;8;-3.881717;1853.60;1;30;100;1;20
12-Jul-2021;20:09:45;LV_f12_MF;9;-3.254715;1759.94;1;30;100;1;20
12-Jul-2021;20:29:49;LV_f12_MF;10;-3.460898;1204.13;1;30;100;1;20
12-Jul-2021;21:01:37;LV_f12_MF;11;-8.009997;1907.51;1;30;100;1;20
12-Jul-2021;21:24:41;LV_f12_MF;12;-5.031449;1383.97;1;30;100;1;20
12-Jul-2021;21:47:06;LV_f12_MF;13;-3.640025;1344.75;1;30;100;1;20
12-Jul-2021;22:07:16;LV_f12_MF;14;-1.783730;1210.42;1;30;100;1;20
12-Jul-2021;22:31:07;LV_f12_MF;15;-3.151076;1430.62;1;30;100;1;20
12-Jul-2021;23:01:18;LV_f12_MF;16;-4.744067;1810.76;1;30;100;1;20
12-Jul-2021;23:21:09;LV_f12_MF;17;-2.581161;1190.89;1;30;100;1;20
12-Jul-2021;23:46:55;LV_f12_MF;18;-2.786830;1546.20;1;30;100;1;20
13-Jul-2021;00:14:43;LV_f12_MF;19;-4.505377;1668.42;1;30;100;1;20
13-Jul-2021;00:39:03;LV_f12_MF;20;-2.537903;1459.75;1;30;100;1;20
13-Jul-2021;01:02:51;LV_f12_MF;21;-2.965830;1428.35;1;30;100;1;20
13-Jul-2021;01:28:31;LV_f12_MF;22;-2.861963;1539.56;1;30;100;1;20
13-Jul-2021;01:52:07;LV_f12_MF;23;-2.406682;1416.08;1;30;100;1;20
13-Jul-2021;02:16:23;LV_f12_MF;24;-4.884901;1455.50;1;30;100;1;20
13-Jul-2021;02:37:19;LV_f12_MF;25;-1.602158;1256.21;1;30;100;1;20
13-Jul-2021;02:57:58;LV_f12_MF;26;-1.249830;1239.16;1;30;100;1;20
13-Jul-2021;03:24:59;LV_f12_MF;27;-4.073521;1621.33;1;30;100;1;20
13-Jul-2021;03:43:10;LV_f12_MF;28;-3.401317;1090.67;1;30;100;1;20
13-Jul-2021;04:05:17;LV_f12_MF;29;-3.496336;1326.65;1;30;100;1;20
13-Jul-2021;04:26:19;LV_f12_MF;30;-4.022361;1262.83;1;30;100;1;20
13-Jul-2021;04:44:18;LV_f13_MF;1;2.815564;1078.33;1;30;100;1;20
13-Jul-2021;05:02:53;LV_f13_MF;2;1.399131;1114.64;1;30;100;1;20
13-Jul-2021;05:19:10;LV_f13_MF;3;1.741552;977.16;1;30;100;1;20
13-Jul-2021;05:33:53;LV_f13_MF;4;0.820827;883.20;1;30;100;1;20
13-Jul-2021;05:47:34;LV_f13_MF;5;6.043254;821.00;1;30;100;1;20
13-Jul-2021;06:02:23;LV_f13_MF;6;7.056419;888.98;1;30;100;1;20
13-Jul-2021;06:17:51;LV_f13_MF;7;0.321297;927.69;1;30;100;1;20
13-Jul-2021;06:33:11;LV_f13_MF;8;6.937154;920.17;1;30;100;1;20
13-Jul-2021;06:48:21;LV_f13_MF;9;0.800301;909.77;1;30;100;1;20
