DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;NO_TRIALS;MLFE;LF_COST;HF_COST;K;n_0;PROP_HF
29-Sep-2021;19:40:24;LV_f10_MF;1;17.936080;0.10;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:25;LV_f10_MF;2;14.390270;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:25;LV_f10_MF;3;105.348744;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:25;LV_f10_MF;4;14.215888;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:25;LV_f10_MF;5;24.956308;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:25;LV_f10_MF;6;11.295683;0.13;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:25;LV_f10_MF;7;22.119034;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:25;LV_f10_MF;8;6.389917;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:25;LV_f10_MF;9;10.677339;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:25;LV_f10_MF;10;10.997321;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:25;LV_f10_MF;11;24.013433;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:25;LV_f10_MF;12;11.356479;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:25;LV_f10_MF;13;12.608778;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:26;LV_f10_MF;14;6.726522;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:26;LV_f10_MF;15;101.114222;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:26;LV_f10_MF;16;7.850759;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:26;LV_f10_MF;17;19.357027;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:26;LV_f10_MF;18;100.580924;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:26;LV_f10_MF;19;17.378484;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:26;LV_f10_MF;20;13.521315;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:26;LV_f10_MF;21;23.750654;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:26;LV_f10_MF;22;24.577598;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:26;LV_f10_MF;23;14.151350;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:26;LV_f10_MF;24;4.907614;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:26;LV_f10_MF;25;10.469782;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:27;LV_f10_MF;26;23.614457;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:27;LV_f10_MF;27;11.221947;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:27;LV_f10_MF;28;101.176435;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:27;LV_f10_MF;29;101.474510;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:27;LV_f10_MF;30;20.424039;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:27;LV_f11_MF;1;0.134753;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:27;LV_f11_MF;2;0.312780;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:27;LV_f11_MF;3;0.182090;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:27;LV_f11_MF;4;0.147470;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:27;LV_f11_MF;5;0.201979;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:27;LV_f11_MF;6;0.040038;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:27;LV_f11_MF;7;0.457213;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:27;LV_f11_MF;8;0.111260;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:28;LV_f11_MF;9;0.622058;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:28;LV_f11_MF;10;0.202315;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:28;LV_f11_MF;11;0.136409;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:28;LV_f11_MF;12;0.223356;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:28;LV_f11_MF;13;0.075358;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:28;LV_f11_MF;14;0.054758;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:28;LV_f11_MF;15;0.028276;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:28;LV_f11_MF;16;0.019927;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:28;LV_f11_MF;17;0.104160;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:28;LV_f11_MF;18;0.113300;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:28;LV_f11_MF;19;0.073913;0.08;30;2000;1;5;10;3;0.250000
